Bay area thrash,,,,
Instrumental Post-metal,,,,
Doom,Sludge,,,
Symphonic power,,,,
Metalcore,Hardcore,Post-hardcore,Punk,
Symphonic power,,,,
Progressive,,,,
Doom,,,,
Melodic death,,,,
Ambient black,,,,
Thrash,Death,,,
Progressive,Instrumental,,,
Power,,,,
Symphonic gothic,,,,
Gothic,,,,
Progressive death,Technical deathcore,,,
Atmospheric death,Extreme progressive,,,
Viking folk,,,,
Alternative,Experimental rock,,,
Drone doom,Dark,Ambient,,
Hard rock,,,,
Brutal death,Technical death,,,
Doom,Heavy,,,
Hard rock,,,,
Thrash,,,,
Progressive,Instrumental,,,
Symphonic black,Black,,,
Progressive,,,,
Atmospheric black,Post-rock,,,
Extreme power,,,,
Stoner,,,,
Power,Progressive,,,
Heavy,,,,
Medieval folk,,,,
Black,,,,
Melodic death,,,,
Extreme power,,,,
New wave of british heavy,Heavy,,,
Death,,,,
Death,Thrash,,,
Black,,,,
Progressive,,,,
Nu,Industrial,Alternative,,
Black,Psychedelic black,,,
Symphonic power,,,,
Depressive black,,,,
Thrash,,,,
Pagan folk,Melodic death,,,
Symphonic,Progressive,,,
Death,Technical thrash,,,
Progressive rock,Avantgarde rock,,,
Melodic death,,,,
Gothic,Glam rock,Gothic rock,Punk rock,
Progressive power,,,,
Alternative,Hard rock,,,
Power,,,,
Brutal death,,,,
Progressive death,,,,
Black,,,,
Gothic,,,,
Us power,,,,
Atmospheric black,,,,
Symphonic black,Extreme gothic,,,
Heavy,Power,,,
Gothenburg,Metalcore,,,
Progressive power,Folk,,,
Blackened heavy,,,,
Death,Gothic,Gothic doom,,
Grindcore,,,,
Hard rock,Heavy,,,
Death,,,,
Heavy,Symphonic,,,
Heavy,,,,
Symphonic black,Power,,,
Sludge,,,,
Death doom,,,,
Psychedelic black,,,,
Atmospheric black,Folk,,,
Symphonic power,,,,
Melodic death,Symphonic,,,
Symphonic power,,,,
Thrash,,,,
Black,Avantgarde,Progressive,,
Ambient black,,,,
Groove thrash,Industrial,,,
Heavy,Stoner,,,
Melodic metalcore,Alternative,,,
Doom,,,,
Heavy,,,,
Melodic metalcore,Alternative,,,
Progressive,,,,
Industrial,,,,
Gothic,Progressive,,,
Progressive,Power,,,
Blackened thrash,,,,
Heavy,Hard rock,,,
Doom,,,,
Black,Death,,,
Death,,,,
Medieval folk,Power,,,
Folk,,,,
Symphonic black,,,,
Power,,,,
Atmospheric black,Symphonic black,Ambient,,
Blackened progressive,Psychedelic rock,,,
Death doom,,,,
Black,Shoegaze,,,
Black,Folk,,,
Melodic power,Hard rock,,,
Symphonic,,,,
Alternative,Progressive,,,
Progressive,,,,
Technical death,Thrash,,,
Post-metal,,,,
Avantgarde,Progressive,,,
Hard rock,,,,
Alternative,,,,
First wave of black,,,,
Death,,,,
Death,,,,
Alternative,Thrash,Hardcore,Punk,
Symphonic black,,,,
Progressive heavy,,,,
Progressive,,,,
Stoner,,,,
Melodic death,Metalcore,,,
Nu,Alternative,,,
Stoner,Stoner rock,,,
Speed,Thrash,,,
Progressive black,Avantgarde,,,
Doom,,,,
Celtic folk,,,,
Crossover thrash,Hardcore,Punk,,
Deathgrind,,,,
Folk,Black,,,
Black,Doom,,,
Power,,,,
Heavy,,,,
Symphonic,Melodic death,,,
Heavy,Folk,,,
Thrash,Death,Black,,
Heavy,,,,
Metalcore,Deathcore,Post-hardcore,,
Symphonic death,,,,
Heavy,Folk,,,
Funeral doom,,,,
Atmospheric black,,,,
Progressive,,,,
Progressive,Instrumental,,,
Progressive math,Djent,,,
Extreme power,Trancecore,Melodic death,,
Death,Hard rock,,,
Post-metal,Atmospheric sludge,,,
Stoner,,,,
Death,,,,
Black,Grindcore,Crust punk,,
Power,,,,
Doom,Progressive power,,,
Extreme folk,,,,
Power,,,,
Gothic,,,,
Death,Heavy,,,
Depressive black,,,,
Stoner,,,,
Death,Thrash,,,
Progressive power,,,,
Thrash,,,,
Industrial death,,,,
Death,,,,
Stoner,Drone doom,,,
Symphonic black,,,,
Depressive black,Post-punk,,,
Industrial,,,,
Death,,,,
Power,Heavy,,,
Thrash,,,,
Folk,,,,
Doom,,,,
Metalcore,,,,
Hard rock,Blues rock,,,
Death,,,,
Sludge,Doom,,,
,,,Industrial,Industrial rock
Gothic,,,,
Thrash,,,,
Black,,,,
Thrash,,,,
Folk rock,,,,
Progressive power,,,,
Jazz,Experimental,,Avantgarde,
Glam,Hard rock,,,
Technical thrash,,,,
Black,,,,
Blackened death,Death doom,Extreme progressive,,
Power,,,,
Ambient black,,,,
Doom,Black,Melodic black,,
Grindcore,,,,
Black,Ambient,,,
Black,,,,
Progressive rock,,,,
Alternative,Melodic metalcore,Melodic death,,
Symphonic death,Melodic death,Gothic,,
Thrash,,,,
Folk,Gothic,,,
Symphonic power,,,,
Black,Folk,,,
Atmospheric black,Death doom,,,
Black,Post-metal,,,
New wave of british heavy,Heavy,,,
Grindcore,,,,
Metalcore,,,,
Industrial,Symphonic,,,
Depressive black,,,,
Symphonic black,Metalcore,Atmospheric black,,
Black,Thrash,,,
Heavy,Speed,,,
New wave of british heavy,Heavy,,,
Drone,Shoegaze,Post-metal,,
Post-metal,Doom,Sludge,,
Thrash,Industrial,,,
Drone doom,Psychedelic rock,,,
Industrial,,Post-punk,Darkwave,
Avantgarde,,,,
Gothenburg,,,,
Doom,Folk,Ambient black,,
Gothic doom,,,,
Symphonic folk,,,,
Extreme progressive,Progressive,,,
Power,,,,
Alternative,Industrial,Nu,,
Death doom,,,,
Post-metal,Sludge,,,
Black,,,,
Folk,,,,
Melodic black,Pagan folk,,,
Symphonic,,,,
Gothic,Folk,Power,,
Alternative,,,,
Doom,,,,
Thrash,,,,
Grindcore,Death,,,
Melodic death,,,,
Heavy,Power,,,
Deathcore,,,,
Doom,Sludge,,,
Heavy,Hard rock,,,
Power,,,,
Avantgarde,Ambient,,,
Symphonic black,Gothic,,,
Thrash,,,,
Death,Thrash,,,
Avantgarde black,,,,
Hard rock,,,,
Epic doom,,,,
Extreme progressive,,,,
Brutal death,,,,
Power,Heavy,,,
Epic doom,,,,
Symphonic math,,,,
Doom,,,,
Heavy,,,,
Industrial,Dance,,,
Power,,,,
Gothic,,,,
Viking black,,,,
Power,,,,
Doom,,,,
Glam,Hard rock,,,
Melodic death,,,,
Industrial death,,,,
Symphonic progressive,,,,
Thrash,,,,
Suomi,,,,
Symphonic folk,,,,
Progressive death,,,,
Viking folk,,,,
Progressive power,,,,
Speed,Thrash,,,
Technical death,,,,
Progressive,,,,
Grindcore,Death,,,
Black,,,,
Atmospheric black,Post-rock,,,
Industrial,Nu,,,
Symphonic gothic,,,,
Deathcore,,,,
Technical death,,,,
Depressive black,,,,
Symphonic,,,,
Experimental death,,,,
Heavy,Hard rock,Power,,
Suomi,,,,
Hard rock,Heavy,,,
Gothic rock,Gothic,Death,,
Gothic doom,,,,
Symphonic power,,,,
Progressive black,,,,
